dt,day,hour,minute,tag,in_worker,out_worker,in_pollen,out_pollen,in_drone,out_drone
2025-12-01 05:56:33,1,5,56,TX2_6,6,0,0,1,0,0
2025-12-01 06:01:33,1,6,1,TX2_6,5,0,0,1,0,0
2025-12-01 06:06:33,1,6,6,TX2_6,5,0,0,1,0,0
2025-12-01 06:11:33,1,6,11,TX2_6,4,0,0,1,0,0
2025-12-01 06:16:33,1,6,16,TX2_6,5,0,0,1,0,0
2025-12-01 06:21:33,1,6,21,TX2_6,5,0,0,1,0,0
2025-12-01 06:26:33,1,6,26,TX2_6,5,0,0,1,0,0
2025-12-01 06:31:33,1,6,31,TX2_6,5,0,0,1,0,0
2025-12-01 06:36:33,1,6,36,TX2_6,6,1,0,0,0,0
2025-12-01 06:41:33,1,6,41,TX2_6,5,0,0,1,0,0
2025-12-01 06:46:33,1,6,46,TX2_6,5,0,0,1,0,0
2025-12-01 06:51:33,1,6,51,TX2_6,6,0,0,1,0,0
2025-12-01 06:56:33,1,6,56,TX2_6,5,0,0,1,0,0
2025-12-01 07:01:33,1,7,1,TX2_6,6,0,0,1,0,0
2025-12-01 07:06:34,1,7,6,TX2_6,6,1,0,1,0,0
2025-12-01 07:11:34,1,7,11,TX2_6,6,0,0,1,0,0
2025-12-01 07:16:34,1,7,16,TX2_6,5,0,1,1,0,0
2025-12-01 07:21:34,1,7,21,TX2_6,5,0,0,1,0,0
2025-12-01 07:26:34,1,7,26,TX2_6,5,0,0,1,0,0
2025-12-01 07:31:34,1,7,31,TX2_6,5,0,0,1,0,0
2025-12-01 07:36:34,1,7,36,TX2_6,5,0,0,1,0,0
2025-12-01 07:41:34,1,7,41,TX2_6,5,0,0,1,0,0
2025-12-01 07:46:34,1,7,46,TX2_6,5,0,0,1,0,0
2025-12-03 14:11:34,3,14,11,TX2_6,2,2,0,2,0,0
2025-12-03 14:16:34,3,14,16,TX2_6,4,2,0,0,0,0
2025-12-03 14:21:34,3,14,21,TX2_6,4,2,0,0,0,0
2025-12-03 14:26:34,3,14,26,TX2_6,5,2,0,0,0,0
2025-12-03 14:31:34,3,14,31,TX2_6,4,2,0,0,0,0
2025-12-03 14:36:34,3,14,36,TX2_6,4,2,0,0,0,0
2025-12-03 14:41:34,3,14,41,TX2_6,3,2,0,0,0,0
2025-12-03 14:46:35,3,14,46,TX2_6,3,2,0,0,0,0
2025-12-03 14:51:35,3,14,51,TX2_6,4,2,0,0,0,0
2025-12-03 14:56:35,3,14,56,TX2_6,4,2,0,0,0,0
2025-12-03 15:01:35,3,15,1,TX2_6,3,1,0,1,0,0
2025-12-03 15:06:35,3,15,6,TX2_6,4,2,0,0,0,0
2025-12-03 15:11:35,3,15,11,TX2_6,4,2,0,0,0,0
2025-12-03 15:16:35,3,15,16,TX2_6,2,2,0,0,0,0
2025-12-03 15:21:35,3,15,21,TX2_6,3,1,0,1,0,0
2025-12-03 15:26:35,3,15,26,TX2_6,3,2,0,0,0,0
2025-12-03 15:31:35,3,15,31,TX2_6,4,2,0,0,0,0
2025-12-03 15:36:35,3,15,36,TX2_6,4,1,0,1,0,0
2025-12-03 15:41:35,3,15,41,TX2_6,3,2,0,0,0,0
2025-12-03 15:46:35,3,15,46,TX2_6,2,2,0,0,0,0
2025-12-03 15:51:35,3,15,51,TX2_6,3,2,0,0,0,0
2025-12-03 15:56:35,3,15,56,TX2_6,4,2,0,0,0,0
2025-12-03 16:01:35,3,16,1,TX2_6,5,2,0,0,0,0
2025-12-25 11:11:37,25,11,11,TX2_6,3,1,0,0,0,0
2025-12-25 11:16:37,25,11,16,TX2_6,3,1,0,1,0,0
2025-12-25 11:21:37,25,11,21,TX2_6,2,1,0,1,0,0
2025-12-25 11:26:37,25,11,26,TX2_6,3,1,0,0,0,0
2025-12-25 11:31:37,25,11,31,TX2_6,3,0,0,1,0,0
2025-12-25 11:36:37,25,11,36,TX2_6,4,0,0,0,0,0
2025-12-25 11:41:37,25,11,41,TX2_6,3,1,0,0,0,0
2025-12-25 11:46:37,25,11,46,TX2_6,3,1,0,0,0,0
2025-12-25 11:51:37,25,11,51,TX2_6,4,0,0,0,0,0
2025-12-25 11:56:37,25,11,56,TX2_6,3,1,0,0,0,0
2025-12-25 12:01:37,25,12,1,TX2_6,3,0,0,1,0,0
2025-12-25 12:06:37,25,12,6,TX2_6,3,1,0,0,0,0
2025-12-25 12:11:37,25,12,11,TX2_6,3,0,0,1,0,0
2025-12-25 12:16:37,25,12,16,TX2_6,3,0,0,1,0,0
2025-12-25 12:21:37,25,12,21,TX2_6,3,1,0,0,0,0
2025-12-25 12:26:37,25,12,26,TX2_6,3,1,0,0,0,0
2025-12-25 12:31:37,25,12,31,TX2_6,3,1,0,0,0,0
2025-12-25 12:36:38,25,12,36,TX2_6,4,0,0,1,0,0
2025-12-25 12:41:38,25,12,41,TX2_6,3,1,0,1,0,0
2025-12-25 12:46:38,25,12,46,TX2_6,3,0,0,1,0,0
2025-12-25 12:51:38,25,12,51,TX2_6,2,1,0,0,0,0
2025-12-25 12:56:38,25,12,56,TX2_6,2,1,0,0,0,0
2025-12-25 13:01:38,25,13,1,TX2_6,3,1,0,0,0,0
